"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"14",2018,"Argyll","10/01/2018","16:35",56.40317,-6.769,"10/01/2018","17:38",56.47317,-6.66967,0.5103,0.0449,0.0673,0,0.3141,0.0841,0,0
"15",2018,"Argyll","10/01/2018","18:21",56.5585,-6.53317,"10/01/2018","19:26",56.6295,-6.44283,0.1981,0.0396,0.0396,0.0113,0.0509,0.0566,0,0
"16",2018,"Argyll","11/01/2018","04:52",56.616,-7.08933,"11/01/2018","06:07",56.57567,-7.273,0.0199,0,0.0099,0,0.0099,0,0,0
"17",2020,"Argyll","11/01/2020","23:45",55.24317,-5.92217,"11/01/2020","00:20",55.24833,-5.96767,0.086,0.0123,0,0,0,0.0737,0,0
"18",2020,"Argyll","12/01/2020","00:56",55.24283,-5.8715,"12/01/2020","01:32",55.24017,-5.82233,0.0772,0,0.0077,0.0077,0,0.0618,0,0
"19",2014,"Clyde","12/11/2014","16:15",55.97533,-4.88317,"12/11/2014","17:09",56.0415,-4.897,0.1398,0.0122,0.0061,0.0304,0.0608,0.0304,0,0
"20",2014,"Clyde","12/11/2014","17:12",56.04283,-4.89483,"12/11/2014","18:00",55.9855,-4.86667,0.0992,0,0,0.0198,0.0794,0,0,0
"21",2014,"Clyde","13/11/2014","08:10",55.937,-4.8885,"13/11/2014","09:04",55.879,-4.909,0.0067,0,0,0,0.0067,0,0,0
"22",2014,"Clyde","13/11/2014","09:07",55.879,-4.912,"13/11/2014","10:03",55.948,-4.891,0.0118,0.0059,0,0,0,0.0059,0,0
"23",2014,"Clyde","13/11/2014","12:26",55.94233,-5.07383,"13/11/2014","13:22",55.88167,-5.06567,0.0112,0,0,0,0.0112,0,0,0
"24",2014,"Clyde","15/11/2014","16:05",55.58133,-4.941,"15/11/2014","18:00",55.44617,-4.9365,0.0305,0,0,0,0.0305,0,0,0
"25",2016,"Clyde","12/01/2016","03:22",55.6185,-5.437,"12/01/2016","04:24",55.68517,-5.40333,0.3643,0,0,0,0.1121,0.1962,0.0561,0
"26",2017,"Clyde","12/01/2017","17:19",55.93,-4.91783,"12/01/2017","18:44",55.8165,-4.907,0.0852,0,0,0.0284,0.0568,0,0,0
"27",2017,"Clyde","31/10/2017","15:00",55.78983,-4.882,"31/10/2017","15:36",55.7505,-4.8955,0.0252,0,0.0126,0,0.0126,0,0,0
"28",2017,"Clyde","31/10/2017","15:36",55.722,-4.91833,"31/10/2017","16:15",55.69967,-4.916,0.0252,0.0126,0,0,0.0126,0,0,0
"29",2017,"Clyde","04/11/2017","10:41",55.62933,-5.00233,"04/11/2017","11:33",55.68033,-5.05072,0.0165,0,0.0082,0,0.0082,0,0,0
"30",2017,"Clyde","04/11/2017","11:50",55.68217,-5.05583,"04/11/2017","12:42",55.729,-4.9895,0.0624,0.0156,0,0,0.0312,0.0156,0,0
"31",2017,"Clyde","05/11/2017","11:34",55.93267,-4.58217,"05/11/2017","11:59",55.939,-4.6325,0.0342,0,0.0342,0,0,0,0,0
"32",2017,"Clyde","05/11/2017","14:36",55.9875,-4.87967,"05/11/2017","15:30",55.91033,-4.9195,0.2849,0.0081,0.1547,0.0081,0.0244,0.0814,0.0081,0
"33",2018,"Clyde","13/11/2018","14:15",55.9825,-4.885,"13/11/2018","14:47",55.95017,-4.90267,0.0511,0,0,0,0.0102,0,0,0.0409
"34",2018,"Clyde","14/11/2018","12:42",55.9325,-4.57117,"14/11/2018","13:13",55.93917,-4.629,0.0183,0,0,0.0091,0.0091,0,0,0
"35",2018,"Clyde","16/11/2018","15:14",55.6425,-4.89083,"16/11/2018","15:45",55.61883,-4.84217,0.0549,0.022,0.022,0,0.011,0,0,0
"36",2018,"Clyde","16/11/2018","15:51",55.61233,-4.82033,"16/11/2018","16:23",55.58683,-4.76383,0.0302,0.0101,0.0101,0.0101,0,0,0,0
"37",2018,"Clyde","18/11/2018","12:15",55.40767,-4.778,"18/11/2018","12:46",55.43267,-4.74867,0.0095,0,0,0,0,0.0095,0,0
