hour,long_coord,lat_coord,concentration(ppt)
6,-1.645,55.755,0.00313691
6,-1.645,55.805,0.002586557
6,-1.645,55.855,0.000652299
6,-1.595,55.555,0.001475256
6,-1.595,55.605,0.002852488
6,-1.595,55.655,0.003681675
6,-1.595,55.705,0.003409437
6,-1.595,55.755,0.00341304
6,-1.595,55.805,0.001481079
6,-1.545,55.555,0.00175017
6,-1.545,55.605,0.002302069
6,-1.545,55.655,0.002855157
6,-1.545,55.705,0.005340061
6,-1.545,55.755,0.004517564
6,-1.545,55.805,0.001481079
6,-1.545,55.905,0.000652598
6,-1.495,55.555,0.001475256
6,-1.495,55.605,0.002577279
6,-1.495,55.655,0.000651106
6,-1.495,55.705,0.002306224
6,-1.495,55.755,0.002308517
6,-1.495,55.805,0.000928339
6,-1.495,55.855,0.000652299
6,-1.445,55.555,0.002025084
6,-1.445,55.605,0.001751649
6,-1.445,55.655,0.001477625
6,-1.445,55.705,0.002306224
6,-1.445,55.755,0.002032386
6,-1.445,55.805,0.00065197
6,-1.395,55.505,0.000924838
6,-1.395,55.555,0.001475256
6,-1.395,55.605,0.002026859
6,-1.395,55.655,0.000926613
6,-1.395,55.705,0.00120301
6,-1.395,55.755,0.000927862
6,-1.395,55.805,0.00065197
6,-1.345,55.455,0.000649924
6,-1.345,55.555,0.000650514
6,-1.345,55.655,0.001202119
6,-1.345,55.705,0.00120301
6,-1.295,55.505,0.000650219
6,-1.295,55.555,0.000925428
6,-1.295,55.605,0.00065081
6,-1.295,55.705,0.000651403
6,-1.245,55.505,0.000650219
6,-1.245,55.555,0.000650514
6,-1.245,55.655,0.000651106
6,-1.245,55.705,0.000651403
6,-1.195,55.555,0.000650514
6,-1.195,55.605,0.00092602
6,-1.145,55.505,0.000650219
6,-1.145,55.655,0.000651106
6,-1.095,55.455,0.000649924
6,-1.095,55.505,0.000650219
6,-1.095,55.605,0.00065081
6,-1.095,55.655,0.000651106
6,-1.095,55.705,0.000651403
6,-1.045,55.505,0.000650219
6,-0.9949999,55.405,0.00064966
7,-3.395,55.705,0.003685241
7,-3.395,55.755,0.000927862
7,-3.345,55.705,0.016647994
7,-3.345,55.755,0.003965302
7,-3.295,55.705,0.043400907
7,-3.295,55.755,0.010040183
7,-3.245,55.655,0.002304144
7,-3.245,55.705,0.058294278
7,-3.245,55.755,0.018047978
7,-3.195,55.655,0.0047837
7,-3.195,55.705,0.071532828
